"Manip","sub","sex","age","group","JND_P"
"Aging",1,"F",25,"Y","9.56"
"Aging",2,"M",27,"Y","6.69"
"Aging",3,"F",28,"Y","12.92"
"Aging",5,"F",21,"Y","1.95"
"Aging",6,"F",25,"Y","2.54"
"Aging",8,"F",67,"O","4.48"
"Aging",9,"M",73,"O","9.63"
"Aging",10,"F",64,"O","7.27"
"Aging",11,"F",21,"Y","1.62"
"Aging",12,"M",21,"Y","3.68"
"Aging",13,"M",21,"Y","0.47"
"Aging",14,"F",23,"Y","1.55"
"Aging",15,"M",67,"O","10.87"
"Aging",16,"M",20,"Y","9.06"
"Aging",17,"F",73,"O","16.23"
"Aging",19,"F",74,"O","6.68"
"Aging",20,"M",21,"Y","3.04"
"Aging",21,"M",28,"Y","3.04"
"Aging",22,"F",66,"O",17
"Aging",23,"F",69,"O","8.4"
"Aging",24,"F",20,"Y","3.82"
"Aging",25,"M",69,"O","9.07"
"Aging",26,"F",74,"O","8.78"
"Aging",27,"F",25,"Y","1.67"
"Aging",29,"F",22,"Y","2.69"
"Aging",30,"M",72,"O",17
"Aging",31,"F",24,"Y","3.48"
"Aging",32,"M",70,"O","14.86"
"Aging",33,"F",67,"O","4.37"
"Aging",34,"F",27,"Y","3.05"
"Aging",35,"F",21,"Y","5.21"
"Aging",36,"F",66,"O","8.55"
"Aging",37,"F",27,"Y","0.37"
"Aging",38,"F",66,"O","7.03"
"Aging",39,"M",64,"O","6.96"
"Aging",41,"M",25,"Y","3.9"
"Aging",42,"F",69,"O",
"Aging",43,"F",69,"O",
"Aging",44,"F",68,"O",
"Aging",45,"F",67,"O",
"TOLD",46,"M",73,"O","14.419"
"TOLD",47,"F",65,"O","7.8447"
"TOLD",48,"M",85,"O","13.0529"
"TOLD",49,"M",69,"O","14.7469"
"TOLD",50,"F",70,"O","15.166"
