sub,age,JND_P,group_O,group_Y
sub-01,25,9.56,0.0,1.0
sub-02,27,6.69,0.0,1.0
sub-03,28,12.92,0.0,1.0
sub-05,21,1.95,0.0,1.0
sub-06,25,2.54,0.0,1.0
sub-08,67,4.48,1.0,0.0
sub-09,73,9.63,1.0,0.0
sub-10,64,7.27,1.0,0.0
sub-11,21,1.62,0.0,1.0
sub-12,21,3.68,0.0,1.0
sub-13,21,0.47,0.0,1.0
sub-14,23,1.55,0.0,1.0
sub-15,67,10.87,1.0,0.0
sub-16,20,9.06,0.0,1.0
sub-17,73,16.23,1.0,0.0
sub-19,74,6.68,1.0,0.0
sub-20,21,3.04,0.0,1.0
sub-21,28,3.04,0.0,1.0
sub-22,66,17.0,1.0,0.0
sub-23,69,8.4,1.0,0.0
sub-24,20,3.82,0.0,1.0
sub-25,69,9.07,1.0,0.0
sub-26,74,8.78,1.0,0.0
sub-27,25,1.67,0.0,1.0
sub-29,22,2.69,0.0,1.0
sub-30,72,17.0,1.0,0.0
sub-31,24,3.48,0.0,1.0
sub-32,70,14.86,1.0,0.0
sub-33,67,4.37,1.0,0.0
sub-34,27,3.05,0.0,1.0
sub-35,21,5.21,0.0,1.0
sub-36,66,8.55,1.0,0.0
sub-37,27,0.37,0.0,1.0
sub-38,66,7.03,1.0,0.0
sub-39,64,6.96,1.0,0.0
sub-41,25,3.9,0.0,1.0
sub-46,73,14.419,1.0,0.0
sub-47,65,7.8447,1.0,0.0
sub-48,85,13.0529,1.0,0.0
sub-49,69,14.7469,1.0,0.0
sub-50,70,15.166,1.0,0.0
sub-51,24,5.5027,0.0,1.0
